mint,symbol,pool_liquidity_usd,absolute_netflow_usd,flow_to_liquidity_ratio,largest_single_buy_usd,single_order_pool_impact_pct,accumulating_whales_count,accumulation_events_count,whale_buy_acceleration,relative_whale_strength_score,conviction_tier
ED5nyyWEZyPPVukJ69AmUMuxqw5bFiqNxTHPRdfGpump,MOODENG,2900000.0,0.0,0.0,0.0,0.0,0,0,0.0,50.0,NEUTRAL
CBdCxKo9QavR9hfgygpRBgpfD4kdyeEU3qyDC9kiLL9m,POPCAT,15600000.0,0.0,0.0,0.0,0.0,0,0,0.0,50.0,NEUTRAL
5LafQUrVpc4oUdLEyZqM39TE58LK5Euhxma8uR4Zpump,CHILLGUY,3100000.0,0.0,0.0,0.0,0.0,0,0,0.0,50.0,NEUTRAL
HeLp6NuQkmYB4pYWo2zYs22mESHXPQYzXbB8n4V98jwC,AI16Z,4200000.0,0.0,0.0,0.0,0.0,0,0,0.0,50.0,NEUTRAL
Df6yfrKC8kZE3KNV4qnsXnMTWjbEWDTUMBg3i7Tmx3pv,GRIFFA,1200000.0,0.0,0.0,0.0,0.0,0,0,0.0,50.0,NEUTRAL
4k3Dyjzvzp8eMZWUXbBCjEvwSkkk59S5iCNLY3QrkX6R,RAY,45000000.0,0.0,0.0,0.0,0.0,0,0,0.0,50.0,NEUTRAL
JUPyiwrYJFskUPiHa7hkeR8VUtAeFoSYbKedZNsDvCN,JUP,88000000.0,0.0,0.0,0.0,0.0,0,0,0.0,50.0,NEUTRAL
orcaEKTdK7LKz57vaAYr9QeNsVEPfiu6QeMU1kektZE,ORCA,24000000.0,0.0,0.0,0.0,0.0,0,0,0.0,50.0,NEUTRAL
MNDEFzGvMt87ueuHvVU9VcTqsAP5b3fTGPsHuuPA5ey,MNDE,5200000.0,0.0,0.0,0.0,0.0,0,0,0.0,50.0,NEUTRAL
7vfCXTUXx5WJV5JADk17DUJ4ksgau7utNKj4b963voxs,ETH(W),65000000.0,0.0,0.0,0.0,0.0,0,0,0.0,50.0,NEUTRAL
3NZ9JMVBmGAqocybic2c7LQCJScmgsAZ6vQqTDzcqmJh,WBTC,42000000.0,0.0,0.0,0.0,0.0,0,0,0.0,50.0,NEUTRAL
mSoLzYCxHdYgdzU16g5QSh3i5K3z3KZK7ytfqcJm7So,MSOL,85000000.0,0.0,0.0,0.0,0.0,0,0,0.0,50.0,NEUTRAL
bSo13r4TkiE4KumL71LsHTPpL2euBYLFx6h9HP3piy1,BSOL,45000000.0,0.0,0.0,0.0,0.0,0,0,0.0,50.0,NEUTRAL
J1toso1uCk3RLmjorhTtrVwY9HJ7X8V9yYac6Y7kGCPn,JITOSOL,120000000.0,0.0,0.0,0.0,0.0,0,0,0.0,50.0,NEUTRAL
7GCihgDB8fe6KNjn2MYtkzZcRjQy3t9GHdC8uHYmW2hr,POPCAT2,4500.0,0.0,0.0,0.0,0.0,0,0,0.0,50.0,NEUTRAL
3B5wuNYydKfBczsM7v51pE9Z3vURe1v13K5xXqBtpump,PUPPY,6200.0,0.0,0.0,0.0,0.0,0,0,0.0,50.0,NEUTRAL
9gq8T4uU3h2sL8jY1v3pQ7wK2eM6nB8xR4tY5zP9pump,MOONCAT,8500.0,0.0,0.0,0.0,0.0,0,0,0.0,50.0,NEUTRAL
8wXyZ1aB2c3d4e5f6g7h8i9j0k1l2m3n4o5p6q7r8s9t,SAFEPEPE,7400.0,0.0,0.0,0.0,0.0,0,0,0.0,50.0,NEUTRAL
2b1kV6ebUAKGtvJY5yjFzgSmP8RzxvTSxLjR9LkKpump,DOGGO,3400.0,0.0,0.0,0.0,0.0,0,0,0.0,50.0,NEUTRAL
5pM9gTYzL3uQvK8wE1rT4yU7iO2pA5sD8fG1hJ3kL5pump,CATMEME,4200.0,0.0,0.0,0.0,0.0,0,0,0.0,50.0,NEUTRAL
7qR8tY5uI2oP4aS6dF8gH1jK3lM5nB7vC9xZ1aB3c5pump,FROGGY,5800.0,0.0,0.0,0.0,0.0,0,0,0.0,50.0,NEUTRAL
9wE1rT4yU7iO2pA5sD8fG1hJ3kL5nB7vC9xZ1aB3c5pump,SOLAPE,8900.0,0.0,0.0,0.0,0.0,0,0,0.0,50.0,NEUTRAL
1aB3c5d7e9f1g3h5i7j9k1l3m5n7o9p1q3r5s7t9u1pump,BABYPEPE,2100.0,0.0,0.0,0.0,0.0,0,0,0.0,50.0,NEUTRAL
3c5d7e9f1g3h5i7j9k1l3m5n7o9p1q3r5s7t9u1v3pump,PUMPKIN,1800.0,0.0,0.0,0.0,0.0,0,0,0.0,50.0,NEUTRAL
5e7g9i1k3m5o7q9s1u3w5y7a9c1e3g5i7k9m1o3q5pump,TURBOSOL,4900.0,0.0,0.0,0.0,0.0,0,0,0.0,50.0,NEUTRAL
7g9i1k3m5o7q9s1u3w5y7a9c1e3g5i7k9m1o3q5s7pump,ROCKETCOIN,3200.0,0.0,0.0,0.0,0.0,0,0,0.0,50.0,NEUTRAL
9i1k3m5o7q9s1u3w5y7a9c1e3g5i7k9m1o3q5s7u9pump,GEMINI,6400.0,0.0,0.0,0.0,0.0,0,0,0.0,50.0,NEUTRAL
1k3m5o7q9s1u3w5y7a9c1e3g5i7k9m1o3q5s7u9w1pump,NINJA,4100.0,0.0,0.0,0.0,0.0,0,0,0.0,50.0,NEUTRAL
EPjFWdd5AufqSSqeM2qN1xzybapC8G4wEGGkZwyTDt1v,USDC,500000000.0,0.0,0.0,0.0,0.0,0,0,0.0,50.0,NEUTRAL
Es9vMFrzaCERmJfrF4H2FYD4KCoNkY11McCe8BenwNYB,USDT,250000000.0,0.0,0.0,0.0,0.0,0,0,0.0,50.0,NEUTRAL
11111111111111111111111111111111,SYSTEM,0.0,0.0,0.0,0.0,0.0,0,0,0.0,50.0,NEUTRAL
