wallet_pubkey,swap_count,buy_count,sell_count,buy_volume_usd,sell_volume_usd,netflow_usd,first_seen,last_seen,avg_trade_size,largest_trade,consecutive_buys,buy_acceleration,sell_ratio,token_count,unique_pools,emerging_smart_money_score
DsC81MNTLr28hbp5ga6ikHe3KxB9DcGacmPh6xJf2rTf,3,3,0,4937.0,0,4937.0,15:45:30,16:12:17,1645.67,2121.0,3,0.29,0.0,3,3,77.8
AQWvHtRfa1JQN55MMY5YkagW68wy8HcRCix1Dx49uUr7,2,2,0,4936.0,0,4936.0,15:53:53,16:07:17,2468.0,2692.0,2,0.09,0.0,2,2,60.8
HUbXAtK5sdKxuJxpUmiXoWQDuwtXLZgkycBPz1hJCTCs,2,2,0,4896.0,0,4896.0,15:47:57,16:01:21,2448.0,2833.0,2,0.16,0.0,2,2,61.4
7ZaWNTXD9Z1APmNMjyjLf25WfC5hp6j1qQFd8m2RNoM5,2,2,0,4736.0,0,4736.0,15:47:46,16:01:09,2368.0,2747.0,2,0.16,0.0,2,2,61.1
CUMQVMtE1UmrLSkzR8CHaaXrocm7s8rexpiHNoUg8cH2,2,2,0,4696.0,0,4696.0,15:53:36,16:07:00,2348.0,2563.0,2,0.09,0.0,2,2,60.3
8fVD4wP97hkc7eCuZifUgEzKAEWPa2bi5evwh8z8V67h,3,2,1,4696.0,1471.0,3225.0,15:46:26,16:13:14,2055.67,2551.0,2,0.24,0.24,3,3,54.0
8j1D75sy5rZA1NTFAUZwVAJiJXSpLUTGDKpqEXPCKc7Y,2,2,0,4536.0,0,4536.0,15:53:25,16:06:49,2268.0,2477.0,2,0.09,0.0,2,2,60.0
G3gYGaDxfTVxvCupaRazVVH9PzeKEbbq8C4EmNa9CGrU,2,2,0,4496.0,0,4496.0,15:47:29,16:00:52,2248.0,2618.0,2,0.16,0.0,2,2,60.6
9kpCiYx7D6QAhKPc2dzAffNjq9TyrYqGAw84kSyo89Tm,3,3,0,4488.0,0,4488.0,15:43:48,16:10:35,1496.0,2200.0,3,0.47,0.0,3,3,78.7
83aqvtaw3f8G4Mt5mGNPU7H8deouVztwLv3L5KcQPW91,2,2,0,4416.0,0,4416.0,15:47:23,16:00:47,2208.0,2575.0,2,0.17,0.0,2,2,60.5
DGScUGkAC1NQ7mUXDVtBXMDtpXj6eCkAwGa5TEEGTq3s,2,2,0,4339.0,0,4339.0,15:51:55,16:05:18,2169.5,2550.0,2,0.18,0.0,2,2,60.5
D5Q3ZP9qyMo6bescx2yQZF4xPndVVMC8cvkio6Vv6yzs,2,2,0,4256.0,0,4256.0,15:47:12,16:00:35,2128.0,2489.0,2,0.17,0.0,2,2,60.2
ANS6xL2GT5XcFFzbPzy5sTzqWkx5kx9X6Qyka1wd2bQd,2,2,0,4216.0,0,4216.0,15:53:03,16:06:26,2108.0,2305.0,2,0.09,0.0,2,2,59.3
4SkqFvA5VMNwf4h7ecmc8JphqNW6bGE7jWr9r5iJMCjU,3,3,0,4199.0,0,4199.0,15:44:56,16:11:43,1399.67,1863.0,3,0.33,0.0,3,3,76.7
8AcmZzs9KFzpTBK23B9t6rHp8oTgvgmZpxfnfKLcv3hi,3,2,1,4180.0,1249.0,2931.0,15:45:52,16:12:40,1809.67,2293.0,2,0.27,0.23,3,3,54.0
BbFRR9zRERnCoFpE1VLpa17KWVdaRZW3K7JuYaNJdmoi,2,2,0,4176.0,0,4176.0,15:47:06,16:00:30,2088.0,2446.0,2,0.17,0.0,2,2,60.1
EjwkkrMNiRN1b5Km27WVZkUMW8MVG75F7tfwqPTPyP7v,3,2,1,4102.0,2188.0,1914.0,15:46:32,16:13:20,2096.67,2594.0,2,0.24,0.35,3,3,49.2
6ruh2HEVyEXkXGFtPeDwDZMcmeAsYfZ4RnFEsurxJcQQ,2,2,0,4056.0,0,4056.0,15:52:51,16:06:15,2028.0,2219.0,2,0.09,0.0,2,2,59.0
BkjJsKfr74R6Tws1XCpNtHrB66CEWwqPUzTGwmKt5z7X,2,2,0,3976.0,0,3976.0,15:52:46,16:06:09,1988.0,2176.0,2,0.09,0.0,2,2,58.9
AnZMD6EN24Ahc1RuGxMBx1LuvELNswnnfzE6bjFTPBdv,3,2,1,3940.0,984.0,2956.0,15:43:53,16:10:41,1641.33,2550.0,2,0.55,0.2,3,3,57.4
HWpRYh7aKaKPWybcTNfWT3d1ev3EW7GnDG4MAMutMB8q,2,2,0,3936.0,0,3936.0,15:46:49,16:00:13,1968.0,2317.0,2,0.18,0.0,2,2,59.7
C4mGf6G6r5FpKNv1FkaSJpcsTBBNP3uJC63xyksaVk9B,2,2,0,3776.0,0,3776.0,15:46:38,16:00:01,1888.0,2231.0,2,0.18,0.0,2,2,59.4
9Dq68nNWc6mUGcRzXqG8ijDRj2KDAdCn3PjrT5vbBexa,2,2,0,3736.0,0,3736.0,15:52:29,16:05:52,1868.0,2047.0,2,0.1,0.0,2,2,58.5
GHN7HaqYnV7rr9MdGaUCeVUEjjZLoAs2JiABjzXqWwvX,3,3,0,3707.0,0,3707.0,15:44:33,16:11:21,1235.67,1691.0,3,0.37,0.0,3,3,76.1
5PJHeVmxe1bvgKkZ5ufhytooZFf6UCTde6eRbcaovwg2,3,2,1,3664.0,1027.0,2637.0,15:45:18,16:12:06,1563.67,2035.0,2,0.3,0.22,3,3,53.9
329ME5AFeRRdWw2aw9U7NTEvj6nbcXtKZscQozg7U3xn,3,3,0,3616.0,0,3616.0,15:43:36,16:10:24,1205.33,1500.0,3,0.24,0.0,3,3,74.6
8PFkHpwm3eZqK4tmxtUdwnU7gRX8nRNkdqoHfxLeYSGq,2,2,0,3576.0,0,3576.0,15:52:17,16:05:41,1788.0,1961.0,2,0.1,0.0,2,2,58.2
ejacbEm2xavBDpJjN3yAh2EnuVuxWY5uc9pKQC9LgUR,2,2,0,3553.0,0,3553.0,15:51:43,16:05:07,1776.5,1850.0,2,0.04,0.0,2,2,57.5
AZogrUEnGsw7VkBUmEq3tjRNs2yd8Bkqtf4Wdgsozs5V,3,2,1,3536.0,2508.0,1028.0,15:46:21,16:13:08,2014.67,2508.0,2,0.24,0.41,3,3,46.3
5ryc3gYAWNGmMoVCV4svSwRQaHVkDSt73epr1H82Q8q4,2,2,0,3506.0,0,3506.0,15:54:44,16:08:08,1753.0,3079.0,2,0.76,0.0,2,2,64.6
5aDh16X6eDntpDEqN2ajB6dYsMbZzs2pNnfvevVFejz,3,3,0,3461.0,0,3461.0,15:44:22,16:11:09,1153.67,1605.0,3,0.39,0.0,3,3,75.8
4SxpiLTtMDQJpvnVNN52Q4W2Q98ZsB8Co86a1T4ekkSW,2,2,0,3346.0,0,3346.0,15:54:33,16:07:57,1673.0,2993.0,2,0.79,0.0,2,2,64.6
9CXdYQHF6MVnyEqardmxCPKqTRxACbQ9D5QHiiEJsSmh,2,2,0,3336.0,0,3336.0,15:52:00,16:05:24,1668.0,1832.0,2,0.1,0.0,2,2,57.7
4UjeGkxvZPSua6nMmm46PEXtfpMC16QRomFrQD6Sg7zL,3,2,1,3216.0,2336.0,880.0,15:45:58,16:12:46,1850.67,2336.0,2,0.26,0.42,3,3,46.0
5Q9Jck7C58GayNkPTgq6SQMZXSXQG79dR9WC43YuXj7T,2,1,1,3165.0,501.0,2664.0,15:54:56,16:08:20,1833.0,3165.0,1,0.73,0.14,2,2,44.8
8nkCXGGo3XSSsdPqo7y1cMCFN1JNXZ7rQr9jcmJNFyds,2,2,0,3160.0,0,3160.0,15:51:38,16:05:01,1580.0,1660.0,2,0.05,0.0,2,2,56.8
DRBG5YvVXc1ktaLik34iKDKhevxWN8dV63wCvxg4VXtx,3,2,1,3148.0,805.0,2343.0,15:44:44,16:11:32,1317.67,1777.0,2,0.35,0.2,3,3,54.2
DtLrMWwgAEqj5Uc43o7E83ZcMacdM6RY9ZdnWt5NJepx,3,2,1,3142.0,1672.0,1470.0,15:45:24,16:12:12,1604.67,2078.0,2,0.29,0.35,3,3,48.8
XPAhMdUQLge7RPKzLjYrnSFhBwfVRbmoHJfAipKBptt,2,1,1,3036.0,390.0,2646.0,15:54:39,16:08:03,1713.0,3036.0,1,0.77,0.11,2,2,45.8
DG4qxo6Zit2sFiS8mGq8engAiZgmhVePn9FfxbPgKkvM,3,3,0,2969.0,0,2969.0,15:43:59,16:10:47,989.67,1433.0,3,0.45,0.0,3,3,75.4
5Y89bf4DUf9jkuANM49JBaT76GUKaeYiskyEEbVUMNu5,2,1,1,2919.0,2137.0,782.0,15:48:08,16:01:32,2528.0,2919.0,1,0.15,0.42,2,2,29.7
3CRg8PNQmsYgccb7BuiewVDKDhu2VkrXQT17vyfkx8ZR,2,1,1,2907.0,279.0,2628.0,15:54:22,16:07:46,1593.0,2907.0,1,0.82,0.09,2,2,46.7
5QyBCNkE7ffMcUgZga2btB7ZiwYcmeCaZ3rgfyFPPhLC,2,1,1,2790.0,2026.0,764.0,15:47:51,16:01:15,2408.0,2790.0,1,0.16,0.42,2,2,29.7
E55DMYW6QAbaU9g7jQcEJVsKwZ6RZfnzLuwLfHeg573C,2,2,0,2776.0,0,2776.0,15:51:21,16:04:44,1388.0,1531.0,2,0.1,0.0,2,2,56.6
82rsT6vYSHN4xg2fmUchqgewXazSoTFE5oHRvrR9Gxxu,2,2,0,2767.0,0,2767.0,15:51:32,16:04:56,1383.5,1617.0,2,0.17,0.0,2,2,57.2
2zE7imfxGNUAAPwDacN3Rs6iDV9CgpFcQyHAg4N4saJZ,3,2,1,2748.0,1304.0,1444.0,15:43:42,16:10:30,1350.67,1850.0,2,0.37,0.32,3,3,50.2
8d2zwFvzjBLNoU1aJ6uHr3FBBTiEb4yoqq4VbSan5mmU,3,3,0,2744.0,0,2744.0,15:43:25,16:10:13,914.67,1175.0,3,0.28,0.0,3,3,73.3
6hTxJZYsa8VaGujMvQJjiKGFCKXTQHE7uWnVcR4ndrpb,2,1,1,2661.0,1915.0,746.0,15:47:34,16:00:58,2288.0,2661.0,1,0.16,0.42,2,2,29.7
FT3Utqt7t7NuzDixgLTs3Jj2awv11CJbZ1bKjAaNtxZ9,2,1,1,2649.0,4200.0,-1551.0,15:53:48,16:07:12,3424.5,4200.0,1,0.23,0.61,2,2,22.0
GMtXAV5AMUoekExj7ZUkaGyo5nK2bad2wkeVcvKTip1e,3,2,1,2632.0,583.0,2049.0,15:44:10,16:10:58,1071.67,1519.0,2,0.42,0.18,3,3,54.7
AQ11mttX1E73fVzQAoTz44UbQhDKVstrk4NPDtygZb4d,2,2,0,2616.0,0,2616.0,15:51:09,16:04:33,1308.0,1445.0,2,0.1,0.0,2,2,56.2
FyffFfJxXid2QRQzL9P2HgXnu8smbw8acmcG7ZPv95xC,3,2,1,2576.0,1992.0,584.0,15:45:13,16:12:00,1522.67,1992.0,2,0.31,0.44,3,3,45.5
6hz5zHtTTNReF1hr9XSvW3YhDS6H5KvQZUDe9byL2AG4,2,1,1,2520.0,2096.0,424.0,15:53:31,16:06:55,2308.0,2520.0,1,0.09,0.45,2,2,27.7
DJtaXEdekbSyPjbfPCYLnpeoVqg1NWQ8oAWvoc1iEYqj,3,2,1,2502.0,1328.0,1174.0,15:44:39,16:11:26,1276.67,1734.0,2,0.36,0.35,3,3,48.9
DVtUXFGiLTTLBTcUm6FSiA7FcebfdEKoQFcHUPgV4WKh,3,1,2,2422.0,3376.0,-954.0,15:46:09,16:12:57,1932.67,2422.0,1,0.25,0.58,3,3,24.0
7Y6VeGK93xxagrdYBAR2cqNYdHbhohxJrZqEWTHHUQpy,2,1,1,2403.0,1693.0,710.0,15:47:00,16:00:24,2048.0,2403.0,1,0.17,0.41,2,2,29.9
AVSCyBMYUARPcBw23vwtDiGf8Q5317P3uSeeXybo6X6,2,1,1,2396.0,370.0,2026.0,15:48:48,16:02:12,1383.0,2396.0,1,0.73,0.13,2,2,43.8
5aT1pckUHr23teeocDMqgZgGkd79hGkMGbGofU4j8xhM,2,1,1,2391.0,1985.0,406.0,15:53:14,16:06:38,2188.0,2391.0,1,0.09,0.45,2,2,27.7
A3UbVXpvamfDecXKkSY768Tvu15Xa7tcSX3F3af12ehz,2,2,0,2376.0,0,2376.0,15:50:52,16:04:16,1188.0,1316.0,2,0.11,0.0,2,2,55.9
HodEjMjZB8ARMLW7J3vTnoBCmFV9PErDike368GoXcBh,3,2,1,2368.0,812.0,1556.0,15:43:31,16:10:18,1060.0,1218.0,2,0.15,0.26,3,3,49.4
976UUBNNVL1AAEvBketq4tE2RAcScpF4T28kAU9DYRjn,2,2,0,2296.0,0,2296.0,15:50:47,16:04:10,1148.0,1273.0,2,0.11,0.0,2,2,55.7
3CN2cYc9UHcvmjNwBMadfiUJddDbAu36qb3NQgepqwq6,2,1,1,2274.0,1582.0,692.0,15:46:43,16:00:07,1928.0,2274.0,1,0.18,0.41,2,2,30.0
HyiX3XMEpa39uQsdSPitdZbWQVDUVUeNT6Y4ceJ84Upy,3,2,1,2256.0,1820.0,436.0,15:44:50,16:11:38,1358.67,1820.0,2,0.34,0.45,3,3,45.3
8Yp2SJDEmoF4JntQcwW9ajadH9MbGS1hebujwWiGBaXr,3,1,2,2250.0,6044.0,-3794.0,15:45:47,16:12:34,2764.67,4200.0,1,0.52,0.73,3,3,18.0
AfDGnpKZs1sjaNycGEx7mkAa41KThBs34AbJcdZDRguy,2,1,1,2200.0,1746.0,454.0,15:51:49,16:05:13,1973.0,2200.0,1,0.12,0.44,2,2,28.3
E3cEkC28cbeG8LWWnjgJkmoPAzi2zsSfo5vr9TeDfSTF,3,2,1,2182.0,1156.0,1026.0,15:44:16,16:11:04,1112.67,1562.0,2,0.4,0.35,3,3,49.1
311V4qJdF3StLxnsLy4N3LobCGJhsXWfWY5XoFRCoB8U,2,2,0,2176.0,0,2176.0,15:56:32,16:09:56,1088.0,1130.0,2,0.04,0.0,2,2,54.8
ECzaGRHweams2mCDptwBqRuB6o2CTD8FKd7pbXWsu7FY,2,1,1,2170.0,2606.0,-436.0,15:53:42,16:07:06,2388.0,2606.0,1,0.09,0.55,2,2,24.0
5rrUcSFVuuQDVTGCKbXc455C4uARSFeURpHtwvyfBVdn,2,2,0,2136.0,0,2136.0,15:50:35,16:03:59,1068.0,1187.0,2,0.11,0.0,2,2,55.4
5U5iu5So7UymzNJYyXKcEduKcrgZHC3Ss28RZooDodQL,2,1,1,2133.0,1763.0,370.0,15:52:40,16:06:04,1948.0,2133.0,1,0.09,0.45,2,2,27.6
88Eu8hrAp6du7pvxVcDM3MZyYScS3hb1j5CUJBv2knmH,2,1,1,2100.0,2876.0,-776.0,15:48:03,16:01:26,2488.0,2876.0,1,0.16,0.58,2,2,23.4
eCvkJtf2cw7UwyCBnfWNxYEn2kmrTQPnyrq8XHtC2m1,2,2,0,2096.0,0,2096.0,15:56:26,16:09:50,1048.0,1093.0,2,0.04,0.0,2,2,54.6
ASZD4WwAGFEKpLjVKjg6bsniDAyK9p7W3Q5RpbqTGGii,2,2,0,2056.0,0,2056.0,15:50:30,16:03:53,1028.0,1144.0,2,0.11,0.0,2,2,55.2
42ESXYwzeYYLb5wFbtSg7f9u2voXMeDriMwRCnG8V2Dm,2,1,1,2022.0,2434.0,-412.0,15:53:20,16:06:43,2228.0,2434.0,1,0.09,0.55,2,2,24.1
G3zsUdjbhsN6pnD2EnGF7aAhwvM9We1sU3C3ESbJKwWC,2,1,1,2004.0,1652.0,352.0,15:52:23,16:05:47,1828.0,2004.0,1,0.1,0.45,2,2,27.7
5LKPEd8vTxaRpgJFTAaTjXi93ndznLXTM5ZkV7m5C7LG,2,1,1,1952.0,2704.0,-752.0,15:47:40,16:01:04,2328.0,2704.0,1,0.16,0.58,2,2,23.5
EpFt9UQk55LA4gmaUn81uLKySdd6rdhTHKcLFNAPTCRN,2,2,0,1936.0,0,1936.0,15:56:15,16:09:39,968.0,1019.0,2,0.05,0.0,2,2,54.4
HYWBcYbsKhVkW69QML9iJtEvu75KT9hfakk3Jq1XeL3m,3,1,2,1906.0,2416.0,-510.0,15:45:01,16:11:49,1440.67,1906.0,1,0.32,0.56,3,3,26.0
7Q8qpV9x3W13qErjoxcji5oSe4dGDm6dhHwfA1t9ScE6,2,1,1,1875.0,1541.0,334.0,15:52:06,16:05:30,1708.0,1875.0,1,0.1,0.45,2,2,27.7
8BnE8QX3abhue95tL3J36fGJjpF98haYGDD2wU92SSub,2,2,0,1856.0,0,1856.0,15:56:09,16:09:33,928.0,982.0,2,0.06,0.0,2,2,54.3
Fpm4cKTAsJSAHShFUB6DrLcKxX9QGuzwYZtWMBRqqUW5,2,2,0,1816.0,0,1816.0,15:50:13,16:03:36,908.0,1015.0,2,0.12,0.0,2,2,54.8
J14je2kYxoiZZa5DUxsnBbzto83U9jKoCUqwXuQDdeD3,3,1,2,1758.0,3302.0,-1544.0,15:45:35,16:12:23,1686.67,2164.0,1,0.28,0.65,3,3,21.7
5qMFxur9WFZjz2g2fztLn1ajATmU4ebgsf2sXRyfhezB,2,1,1,1726.0,2090.0,-364.0,15:52:34,16:05:58,1908.0,2090.0,1,0.1,0.55,2,2,24.3
862aV8RgNRV7c6rWnNgYtPidikHyJoYWFHQmwchhPMXv,2,2,0,1656.0,0,1656.0,15:50:01,16:03:25,828.0,929.0,2,0.12,0.0,2,2,54.5
6KSRpLsLNKLwN1FWvRacGJGx6PHo4ryARTRYVqBeTmL9,2,1,1,1656.0,2360.0,-704.0,15:46:55,16:00:18,2008.0,2360.0,1,0.18,0.59,2,2,23.6
Cg2DZyJ9Wj2v1LkfpnodXd3ETYyXqBoNRvPrtY9qAHVy,2,2,0,1616.0,0,1616.0,15:55:52,16:09:16,808.0,871.0,2,0.08,0.0,2,2,54.0
67tyrvZrrQahWgwukM1K5MCrozMqdLxArhgb5FGZ4yE4,3,2,1,1616.0,1476.0,140.0,15:44:05,16:10:52,1030.67,1476.0,2,0.43,0.48,3,3,45.0
5P2rUDzmaEjRdGoa8keNbwb2fG8R44qS63DRLCQgyfut,2,1,1,1578.0,1918.0,-340.0,15:52:12,16:05:35,1748.0,1918.0,1,0.1,0.55,2,2,24.3
4BwH1CKNCvMneTVLyEQLgdXHxADCJiMpXzHTa6hFL5yg,2,1,1,1488.0,1208.0,280.0,15:51:15,16:04:39,1348.0,1488.0,1,0.1,0.45,2,2,27.6
BmbPYMLaTmP58azqcNzuaAnFjDZ6BRPtBpN8yb9vRbKo,2,2,0,1456.0,0,1456.0,15:55:41,16:09:05,728.0,797.0,2,0.09,0.0,2,2,53.8
H6ZNEKwKJBq2RYsTXWSFBSQEMcUhTd8xCq8UzF8fVV6Y,2,2,0,1416.0,0,1416.0,15:49:44,16:03:08,708.0,800.0,2,0.13,0.0,2,2,54.1
CEeb9RkZ7WpN7wyYDGdAAxrUWBwveyNSC2r1UzrNuohE,2,1,1,1359.0,1097.0,262.0,15:50:58,16:04:22,1228.0,1359.0,1,0.11,0.45,2,2,27.6
HtRNTumKgqXw2anJoBfiRoJCTe5DQmk54fK6PCKkKXwA,2,2,0,1336.0,0,1336.0,15:49:39,16:03:03,668.0,757.0,2,0.13,0.0,2,2,54.0
ED8oKwHH7yU72o5poZyE9ucpxZfgW7uD3DX4sqXErjF4,3,1,2,1242.0,2342.0,-1100.0,15:44:27,16:11:15,1194.67,1648.0,1,0.38,0.65,3,3,23.6
7KUUJPvDRMEqeXSzAQorXiy372k6VrgGaBv7Sg8BRRVX,2,2,0,1216.0,0,1216.0,15:55:24,16:08:48,608.0,686.0,2,0.13,0.0,2,2,53.7
9pDwdo9S3WYwjkfqbppMSM7m3wXnnP4s51rZmfWwUfws,2,1,1,1204.0,1132.0,72.0,15:56:43,16:10:07,1168.0,1204.0,1,0.03,0.48,2,2,25.8
DbKyVxVbhiUSqRzy4JMfXMkm9XYr5b1xtnh1mSDaTnSS,2,2,0,1176.0,0,1176.0,15:49:27,16:02:51,588.0,671.0,2,0.14,0.0,2,2,53.8
FBPSS4K8DcXfQbTG9yMr8wVzuAPsNxq5HQGuUtoTeV4T,2,2,0,1136.0,0,1136.0,15:55:18,16:08:42,568.0,649.0,2,0.14,0.0,2,2,53.7
3UtZ9XEwnoNjC9bhTHpKdTqTgFPZmgL9rtbxvghbNdyj,2,1,1,1134.0,1402.0,-268.0,15:51:04,16:04:27,1268.0,1402.0,1,0.11,0.55,2,2,24.6
BkSrMYUo3WrLYMWV8A4vdujrCf6hskDp2mkTx5mn4dHS,2,1,1,1101.0,875.0,226.0,15:50:24,16:03:48,988.0,1101.0,1,0.11,0.44,2,2,27.8
BbHS5mL6ZCDmYKCiPkVucihbhJVbpcDD3uDaV7KmArBS,2,2,0,1096.0,0,1096.0,15:49:22,16:02:46,548.0,628.0,2,0.15,0.0,2,2,53.7
BnV9zWdUqjnFNLp4ZSTyD2R7gvArkGTroXHjEKaGpHCc,2,1,1,1089.0,1167.0,-78.0,15:56:38,16:10:01,1128.0,1167.0,1,0.03,0.52,2,2,24.7
6AiBRVTfzTsmGyvTnoihY2NLW72C2PxmRtXNrK3vqj3j,2,2,0,976.0,0,976.0,15:55:07,16:08:31,488.0,575.0,2,0.18,0.0,2,2,53.8
E1XaH39XarcaMHhfsdh9SEhUNfuCqbSucvAnz7sGMkN5,2,1,1,972.0,764.0,208.0,15:50:07,16:03:31,868.0,972.0,1,0.12,0.44,2,2,27.8
DPPACM5ZwcahHvdMM6pcvd2WHC35YqwTnkySXB1nLLa7,2,1,1,908.0,788.0,120.0,15:55:58,16:09:22,848.0,908.0,1,0.07,0.46,2,2,26.7
9D12qAxoeoMLfpewuupGM2wcVXCgGaQByVwoWMPViWcE,2,2,0,896.0,0,896.0,15:55:01,16:08:25,448.0,538.0,2,0.2,0.0,2,2,53.8
FBph7KghCgAFJ69S4BhZgCfswhb4MJbZYfoAkVmDaeSN,2,2,0,856.0,0,856.0,15:49:05,16:02:29,428.0,499.0,2,0.17,0.0,2,2,53.4
EqUKeJuZAj8CtyWhWBUeUFSLs42NNw5JwSJ4csZ1oCZH,2,1,1,843.0,653.0,190.0,15:49:50,16:03:14,748.0,843.0,1,0.13,0.44,2,2,27.9
6RA2vCZNhxi3ur4pBJQgQRe4ew21nJgjdTT1dxXoTAWQ,2,1,1,838.0,1058.0,-220.0,15:50:18,16:03:42,948.0,1058.0,1,0.12,0.56,2,2,24.6
GNptDaLhd2QnEarFczsK33ZgLEh4U4qatSSxjad1V9eM,2,1,1,831.0,945.0,-114.0,15:56:04,16:09:27,888.0,945.0,1,0.06,0.53,2,2,24.8
3LKxH2s684vpYb5mXxAicjDEvMqEsrcu5MS3vMLEG6T6,2,1,1,800.0,1574.0,-774.0,15:51:26,16:04:50,1187.0,1574.0,1,0.33,0.66,2,2,23.6
6MgqYRe9c2hEwXx7Kwic8EWtnE4GKTYGwU53mRo5EMvy,2,1,1,760.0,616.0,144.0,15:55:35,16:08:59,688.0,760.0,1,0.1,0.45,2,2,27.3
BqH86RwQa5e5nYxPsMPGFtZ93VJTSnEKM7nGnaTDpNRb,2,1,1,702.0,834.0,-132.0,15:55:47,16:09:10,768.0,834.0,1,0.09,0.54,2,2,24.8
Cnp5wyRDaUbM88oHQzEwQKAFd9v1kbNDY1AeEoHsSQT3,2,2,0,696.0,0,696.0,15:48:53,16:02:17,348.0,413.0,2,0.19,0.0,2,2,53.3
FMqMf5eXyqg5N8ewLaon4C8YFH6aRoXLcrptysR3CWr4,2,1,1,690.0,886.0,-196.0,15:49:56,16:03:20,788.0,886.0,1,0.12,0.56,2,2,24.6
CT3jBCt3Sq3j1JH1EqPbg2GBe5caP9ygXAAe6iDRPRu,2,1,1,585.0,431.0,154.0,15:49:16,16:02:40,508.0,585.0,1,0.15,0.42,2,2,28.4
J8cFcYXSytWb9PyQyqFPxCGz5GdeCwrJEz35PKDsxKGG,2,1,1,573.0,723.0,-150.0,15:55:30,16:08:53,648.0,723.0,1,0.12,0.56,2,2,24.7
3z8BnwdvHXsV7yYnEMqqi43wKrW6UwCTdj1BWPgtRnmi,2,1,1,464.0,3122.0,-2658.0,15:54:50,16:08:14,1793.0,3122.0,1,0.74,0.87,2,2,19.7
54eJQWeYsRFDHWBp2p6uK4vJkQWw7UGg1LpJZAdEg2rH,2,1,1,456.0,320.0,136.0,15:48:59,16:02:23,388.0,456.0,1,0.18,0.41,2,2,28.9
J5AHEZmf6ASgaS7k3QPUocujRsUpLtFKmCWZy9tkqDgd,2,1,1,394.0,542.0,-148.0,15:49:10,16:02:34,468.0,542.0,1,0.16,0.58,2,2,24.7
DtuL2p21Qvpz5nWK7BaHg2eCGceZE6Xo3y6QF9wKhkaY,2,1,1,327.0,2359.0,-2032.0,15:48:42,16:02:06,1343.0,2359.0,1,0.76,0.88,2,2,20.9
FLF2s8B3W7Hto2NbJuQ59qgmgz8Sg7qsBuGcUR9Yh6aE,2,1,1,316.0,2950.0,-2634.0,15:54:27,16:07:51,1633.0,2950.0,1,0.81,0.9,2,2,19.8
XnfdFKEj4giVWkgKbae3eJztvqEsfpbnfZZ7aYM6Jdn,2,0,2,0,5096.0,-5096.0,15:54:05,16:07:29,2548.0,2778.0,0,0.09,1.0,2,2,-9.3
