event_id,signature,mint,wallet,action,amount_tokens,amount_usd,impact_score,timestamp,source_type
whale_uinY9pQt_1788779779,uinY9pQtmdtLMB991hixr7w6a1XGArAmYpn2Cwsc7udu7rb3i1wYWjHZqsbwhsifzvptaGnEJF3CLfRdiGbZ7Lh,DZWQT5dq1UtdFdWxaJNx4fQ2m89XCRKHg8N1wD5Kpump,DBMrpQh6j9WwKpnkttjU7CQgzQC7fcBtmDQjHAKouFkE,SELL,15835070.017307999,75.27,19.29,2026-09-07 11:16:19,REAL
whale_5wd22qZu_1788779831,5wd22qZudgTWdts5LN2FmxKWbw5LB4sT81KdZ4pgSkaopfLMq5Y7rhDZ6vk6oPKQoUyFKRNvHqe8pjZyQGSEqNDt,8fhrfxcuzjXZwoUBsWbZi4q8LF1pLAzD5LqJ88J1pump,DaDSv3nfY18jdU6VxoSDY5Ygr2xhBff8RnFa8HRJ8eUW,SELL,38398110.767266,235.87,45.76,2026-09-07 11:17:11,REAL
whale_8o1UqsAA_1788779997,8o1UqsAArYEcs2exRncBSBhffuGCuMyKHu17bAVAn7woEhnwy31MmTUBnecxcv9DZVKRh7qqbroepvkb4KppMkp,8fhrfxcuzjXZwoUBsWbZi4q8LF1pLAzD5LqJ88J1pump,3PLudsfYSMLbZbBqKU2gNSuABnRfNU3sBZ3ZeouMyrhU,SELL,14405154.619088,72.67,16.21,2026-09-07 11:19:57,REAL
whale_5dTMZRBE_1788780050,5dTMZRBEjbwdbcwwvE4SEvMgdixH3cPhQxWRxE5h68BGXVsgsM6wv41xaHTBGVGSHrBUpaGn6A9FgRKzfTRBHD43,8fhrfxcuzjXZwoUBsWbZi4q8LF1pLAzD5LqJ88J1pump,2KnQqArAikpc8EbiRzctAGiwzWm1ZkSWwXeKnfNDY3jX,SELL,15679874.113564001,77.2,17.99,2026-09-07 11:20:50,REAL
whale_5cApcKUg_1788780166,5cApcKUg7J4ZLDJTLS5JTgBmgcmjwtYhakjAAdYRf5qkx95o2jPefUBMkwgQxGdtQ9kvshSdP8wj56Kp7ZqNZc94,DZWQT5dq1UtdFdWxaJNx4fQ2m89XCRKHg8N1wD5Kpump,DBMrpQh6j9WwKpnkttjU7CQgzQC7fcBtmDQjHAKouFkE,BUY,23910896.379909,104.95,28.19,2026-09-07 11:22:46,REAL
whale_3ZX8RnnY_1788780207,3ZX8RnnYfwUnmqQno8hRpEVPM5vq5jMmthoTSAcNmgVX9gboLbnBrKbnM4zbaF3HYUQzu4HkMS2WH1mYdeAtrr2t,8fhrfxcuzjXZwoUBsWbZi4q8LF1pLAzD5LqJ88J1pump,ALzCdso5ykxSERa9tvHo96TMXaxPebEFAMbEKr2f3JvA,SELL,19665097.086109,89.48,22.09,2026-09-07 11:23:27,REAL
whale_Uo6CsdJw_1788780218,Uo6CsdJwfN8N4AE2Uj1ULQmg2ww9dwHgDsZT3rERQgdK5s4GAJodHNrW7WE73skyzwpbevt9GZn8Tjt3fiLWy6i,DZWQT5dq1UtdFdWxaJNx4fQ2m89XCRKHg8N1wD5Kpump,DBMrpQh6j9WwKpnkttjU7CQgzQC7fcBtmDQjHAKouFkE,SELL,23910896.379909,112.1,26.16,2026-09-07 11:23:38,REAL
whale_4xRpES6o_1788780462,4xRpES6o4f2EwY1W3L1aHdHCt3WXDrJbq2cqECf5YtNuQ2s9GNKrNHMsJqxos1qxSDmT7h7hUts1pn3XxjYYmFJ3,8fhrfxcuzjXZwoUBsWbZi4q8LF1pLAzD5LqJ88J1pump,2zaAtsk4NBDPjghVk3aoXM5JbXZWrd4KvQkkQAmbH94J,BUY,20314689.468915,73.44,22.41,2026-09-07 11:27:42,REAL
whale_ZxWQjwaS_1788780634,ZxWQjwaSPa82eBJTm6pmuFQ7fogLg6W1gTbapwcj2LWV5miJY8a3RH1uhzL2gWn7tKAcbqZine36GjtMS4cfSdP,33xLr1aVnBmr8L3CnKP81vsvm5rqnd7wNwUiZM3Cpump,5Riz4PARxCpbqaeQyZdoJxuvm6rz93Q5tfBi4b5Kz3CD,SELL,19552677.046315,468.51,34.23,2026-09-07 11:30:34,REAL
whale_nycPSnM3_1788780815,nycPSnM3fCpCeM4bZ3VAsyWncnJdrAfq5mGmSbuCd6DtH2iawojA3SmF9YkoKTwRMJr6XTfChHQJ45MNfXQje5r,DZWQT5dq1UtdFdWxaJNx4fQ2m89XCRKHg8N1wD5Kpump,BReSnF7senvVxqzQanNs9mzLrDetA2AcbuDp5ip8gRmd,SELL,13906444.346888,62.25,15.11,2026-09-07 11:33:35,REAL
whale_3QV57kSn_1788781713,3QV57kSn4nThf5pjzWFVqsuky11RrnkcwjyFmpkw8Ni3EWtw3FhFvqngzFp9mgkqassfGPevyiPTsdraevgBkvPY,AGi2s9zPRPHs3zEDPhPTroumTEXK5ufymYSfEFndCSSW,H8UTeeuxFKUo63MGaZJBkGsNPDeAe5CSgf6jNsqQmuMV,SELL,5352855.402164,452.12,17.28,2026-09-07 11:48:33,REAL
whale_261qQFcL_1788781833,261qQFcLDwunuVQVZ3CkgZHfFUEAYuphCguw5bQaChpB8Ms54fUe12goy5uYqNAQ5bBtA1XxBEvbuo5pjw4HW25P,DZWQT5dq1UtdFdWxaJNx4fQ2m89XCRKHg8N1wD5Kpump,HjVcC9ZvbkJ9raXUWbFVVesikmJH19hyz8rEtvcDbbQk,SELL,15202408.190189,62.67,16.89,2026-09-07 11:50:33,REAL
whale_47guNCXz_1788781888,47guNCXzPNSXCf5WenYfDybcrSUQXpLQ8YMvghuqYkco2R8YCUk91cYCtF9mge2PvhfKPcmPTgrbXAcjNHPhWK6K,7FixfVqcsm1p7yUPhMyB379JAgdBfA5Sj9BrzcsSpump,PHZ5AcMCptESHz7jexfQ4S42hqZWsdQipgoW1Uk1bYM,SELL,3921855.593479,415.14,15.9,2026-09-07 11:51:28,REAL
whale_5UZotoaP_1788782043,5UZotoaP5GdJjkArRpF7nBVPQUctsJzEKZqBNvCVD9Tp7ZsP5UNRGKooaJub9rSode3ULXacvhFPeWBfTF5GvKZ1,7z6pRVLuaHkhJivD2r9ayisv2ypTPgZa5oieBFuhpump,AzaCJQvendQgMDrKRQhC3dQXnfZGU4MaAoRduvv2MHdx,SELL,572293.707432,10.44,100.0,2026-09-07 11:54:03,REAL
whale_5WkAdfJr_1788782042,5WkAdfJroGv2CbTy2gxfJu6ZwQXfwSxc45ZXNChCg87uwTTnvLKdWCWNzHa9oTwoH7wfneu73F5ieZ3A5KHcUbrz,7z6pRVLuaHkhJivD2r9ayisv2ypTPgZa5oieBFuhpump,7HmkKn8P6aZSMg7jn9esjdPQ9cBqg9LQgNECzoDeJiGQ,SELL,4412881.717248,81.14,100.0,2026-09-07 11:54:02,REAL
whale_ENwb2ykp_1788782144,ENwb2ykpAUSp2FakTAWmS7zLA8ueo6iJJ6Fr9v5gWgeq9YB5EcXGPcrGvfnUrAytD3bzsAHmj8Ld23A8cMawJBd,7z6pRVLuaHkhJivD2r9ayisv2ypTPgZa5oieBFuhpump,7BFXQaFdAjmf154LSz1E17kfJxveUr8K3YH1AN882K56,BUY,1056854.608826,20.07,100.0,2026-09-07 11:55:44,REAL
whale_2i2TZrTD_1788782152,2i2TZrTDHrYqpuVxHU9QjFZUPqzU8JyAiAKu9xyxLytE54NNz955kfaxKce7su82BybMbnw9AMNdcbzomYzq4hsw,7z6pRVLuaHkhJivD2r9ayisv2ypTPgZa5oieBFuhpump,9NotWy44cxj2XuzMzpC44LAEfuH6o5GhsSyms7c5ja2X,BUY,1073145.474808,21.11,100.0,2026-09-07 11:55:52,REAL
whale_hZVBrHMU_1788782151,hZVBrHMUEX6mNMVmQvfL9t9nBxi2uW6EWaqoVsLGhzSjiqFVh1yts1wkQG9a7cW6149WyAaiMvsAieTw3UuRXR7,7z6pRVLuaHkhJivD2r9ayisv2ypTPgZa5oieBFuhpump,DHmU1EFkQmfJ7ezpvFT7dzDVVayqYkPeAjxdDhZXV29M,BUY,53263.963975,1.42,20.48,2026-09-07 11:55:51,REAL
whale_2GyeaoaH_1788782150,2GyeaoaHPuUZvL5cU2LGFwuqmmBrDGTmANxjzLWYk5TqM4PQfYq3LbRYtCeh1b6WqDPLkHKQBiBxu8FWTQ2BUW4C,7z6pRVLuaHkhJivD2r9ayisv2ypTPgZa5oieBFuhpump,DnYAnYNCAzZEA43gwChK49FPWrdKywsBtPyHAPSyEYMN,BUY,538780.592013,10.61,100.0,2026-09-07 11:55:50,REAL
whale_T8byovUv_1788782150,T8byovUvot6FgXSMHX8njrJd2fJ9i7pw7Zys6nXyDDgSXkgR7Mo5wnXhrw7KWbtjLqzcndxq9sHXzqYBNsPozky,7z6pRVLuaHkhJivD2r9ayisv2ypTPgZa5oieBFuhpump,CM7X3s227KMaBPGQa44Dy3XH5WAvzWp81zSMhWC826FP,BUY,12654529.268933,241.32,100.0,2026-09-07 11:55:50,REAL
whale_3DUB6Rph_1788782172,3DUB6RphKFvDA7AakPTQQmLNuhUTVahVLhJmLZAq6xguXVq2Y9GrrGEVSBok7ZcJCUvA8z5BXtLCJgzgaHzqAc82,7z6pRVLuaHkhJivD2r9ayisv2ypTPgZa5oieBFuhpump,5ZLjPdKPQGZYNhc8KWiQY3vCBzYZVxHcrLP5ToiPL4hG,SELL,1057626.373394,21.84,100.0,2026-09-07 11:56:12,REAL
whale_641Nnbdz_1788782170,641Nnbdz4noEAx49WugTfDSYYs1W8GDKp66XLSUUNS8zhbUTgCqrtMqJ9PH8QigfjQE4QmZMuJLpbSwZbWpG3jnC,7z6pRVLuaHkhJivD2r9ayisv2ypTPgZa5oieBFuhpump,FjWUdgbTTBVL7KNSBR6Trucu7gRJBUG434AEdbjQyjaU,SELL,2280648.707885,47.62,100.0,2026-09-07 11:56:10,REAL
whale_2TJWw9Jp_1788782168,2TJWw9JpYsZuzqtZKHMAiQux6DaBEK825LTZPRkWqcYgixfjgc5aMep2pM8N6xa5Q6W6wNMMJ6B3rbgLWzYugksj,7z6pRVLuaHkhJivD2r9ayisv2ypTPgZa5oieBFuhpump,EEt9CcYKFcqwWfP8ABxnY2qMS9dWnSfR5poZMcQzBsoL,SELL,590758.730424,12.49,100.0,2026-09-07 11:56:08,REAL
whale_pkeJUske_1788782200,pkeJUskeFM97hQpQNapnqQ69XUH4AZHkb95ebW2qxYamtp1gKg18yPeteUscy3zh1Z4syGtA7H7pVsFmZMUHWUg,7z6pRVLuaHkhJivD2r9ayisv2ypTPgZa5oieBFuhpump,DK9cqdHwxDuitzXkcpznYhL6UkKFnEsDEM1qJoE3rjgQ,BUY,488160.633717,10.26,100.0,2026-09-07 11:56:40,REAL
whale_5Kj6sJPw_1788782199,5Kj6sJPwatXbsL9S1yK1ZHzNMeZBARQHerpxjgdRg9gCUa8Wyq3DVcFgD8QCKt8wtDd67UmA23h33NuC1CYxQYVf,7z6pRVLuaHkhJivD2r9ayisv2ypTPgZa5oieBFuhpump,DnYAnYNCAzZEA43gwChK49FPWrdKywsBtPyHAPSyEYMN,BUY,509747.87211600016,10.6,100.0,2026-09-07 11:56:39,REAL
whale_215yeR8o_1788782205,215yeR8ozvfdpHRrNGnuRR1Zt4kMNEq4yBDQFFtniyDbatAd9ifvposZHSY4pj7CfMPysiSQSAtyHiSdpZ1VkSsv,32hcVghqThDPvdNBmqusrpFeE2yHF3L1aUPHup6ppump,BVHbCYpWkD2QP7hwrf7kKKxaKkBpS5ET8rBofPBusmau,SELL,15917689.867153,1312.12,52.57,2026-09-07 11:56:45,REAL
whale_4nkzD7bb_1788782310,4nkzD7bbHDBTXrp6Q9BYdAtNkEPJmPaQhgPwuCGtyqmUDc2PprrBUkHbuxLZ1CR2Nqde58ydjbvRZLprqe9kPnZL,7z6pRVLuaHkhJivD2r9ayisv2ypTPgZa5oieBFuhpump,DGUV3eA9DwaKSm7Wnofbw8DADWYecGYMV4PFsj2sJPda,BUY,2191705.499471,53.27,100.0,2026-09-07 11:58:30,REAL
whale_u6mtSs9f_1788782341,u6mtSs9fnTQPQxzaXwNF1hbpV3TSADbWH6Xu1Z2xCWXDYQZej3nNavUsHNBDbigVmtcUEa4LSGN1BVTHLDbLL5Q,7z6pRVLuaHkhJivD2r9ayisv2ypTPgZa5oieBFuhpump,9KYzNA95j8GVyVJPAV8ZQtDeytKqgpZfNgtMzcqUNSsz,SELL,14668896.119048,311.29,100.0,2026-09-07 11:59:01,REAL
whale_2CEkWTDg_1788782341,2CEkWTDgpDCBZ6SpY5A6DDNaNdCXb3YyksRPDLuM2aNYFf1yHA2gJ9f5A3bSCCXDvegP8f6z5hpCzVZkWpYKw8kV,7z6pRVLuaHkhJivD2r9ayisv2ypTPgZa5oieBFuhpump,DxY7nxCvYxfhqvN1zxg7yCAy7YBWq4G537QLJ2fUMq5N,SELL,306622.113185,6.66,78.78,2026-09-07 11:59:01,REAL
whale_x6ejiGrf_1788782391,x6ejiGrfbi1m1C3dXYco5AdCs5GcY2qcZ32vscRxWNa4zWz5LTEiMtREk8FDmTXBLWfiB2aN7yG6hQFq8NSgZEA,7z6pRVLuaHkhJivD2r9ayisv2ypTPgZa5oieBFuhpump,4jQRZq2HrfmeNxT4FEDaDwApNojFrGRpK4jX9UxfWmTk,SELL,132139.208663,3.67,40.63,2026-09-07 11:59:51,REAL
whale_2MM1fmxx_1788782952,2MM1fmxxRkjizCVTx7LwP1cB8VnkihJopafy7GgM29YxWWvgbZPLgRggsgtLgUfsA5reC8AqucnDtJ19VDYCevyF,Ge6rAm237dwWXkgkVfKSxCMJRJ3HwMDD6R52gcSjpump,H54sDBNmyjdP8JMrMsFE4ZRgVsSabPsDRhWZ5cZsHZVc,SELL,3171187.645190984,523.74,15.93,2026-09-07 12:09:12,REAL
whale_4bbtsoqq_1788783043,4bbtsoqqk3xc6KJsd9vZqN6B8ne8RV1CadWvTUUvdAcKkcDBad2VwZkyk3zWWbgRf2RJ7SDGASEv2J8taS8ah93A,Ge6rAm237dwWXkgkVfKSxCMJRJ3HwMDD6R52gcSjpump,2ZXvGB9MkM3mqHRThFx3xk4N5jJ6AQwGdx6xuAaPvrZa,SELL,3263685.3841530085,525.09,16.41,2026-09-07 12:10:43,REAL
whale_3jHkB33S_1788783082,3jHkB33SbPe4PEJLwSRmzutJE9qRg8TXbGm2cmS36TcWhccjDPJgfKBhcMKGRpC5Hn9hwhd7hUSEy71pw58gFc5y,Ge6rAm237dwWXkgkVfKSxCMJRJ3HwMDD6R52gcSjpump,9KLLJfY9XnnA8n5LECbHCFCqS2u4NkRHPnTkawePMVQv,SELL,3305711.9496750087,531.23,16.24,2026-09-07 12:11:22,REAL
whale_2da7NjdN_1788783197,2da7NjdNccVTD3jqVsqRZqsEMGyRpDzjKZPMKjqRahdy57KASKPNouopH1GUdinzNhNn4WjJKsVGbx6CqkTQgxbA,Ge6rAm237dwWXkgkVfKSxCMJRJ3HwMDD6R52gcSjpump,3xHWaViBmBeNyDX5gaicNjo2QXydFEqZAhocwnUmEzuu,SELL,3499052.3354639933,519.2,16.19,2026-09-07 12:13:17,REAL
whale_528P6jCF_1788783527,528P6jCF6LJ8BBHGbJpGs93JFUU4dvM483gMcTiEpKsoQUoV5WmqxJBGerjqQopGfQ4w9bbRWJxF2JGuD39aVjn3,Ge6rAm237dwWXkgkVfKSxCMJRJ3HwMDD6R52gcSjpump,3Gfmg6sCnuQySsZMMFW4rRCjaUW4369NmzEziWWtvkhQ,SELL,32436183.705522,67.44,30.31,2026-09-07 12:18:47,REAL
whale_31ZYjHKH_1788783539,31ZYjHKHnERULF4oqdDAmSaGe5bAt1WozWxsYK3iq9kqeicj6tqiMUtNrmXrXG9GLoBXJvyu4kLgyPm5RHYx4iTH,7z6pRVLuaHkhJivD2r9ayisv2ypTPgZa5oieBFuhpump,4DmKhkfJbWbJbe6m47gHzn5gTp5z2DQEU1rUdSZK9cS6,SELL,7516506.8337240005,171.33,16.24,2026-09-07 12:18:59,REAL
whale_2GpKpDTW_1788783643,2GpKpDTWwUrAW4rDogVJcKdSsUdSHKrVEKtmuZwhutks5NdCAULwE7KZ1PBBe2qNxriEzsYfYj5sMDgeXAECTD6T,7z6pRVLuaHkhJivD2r9ayisv2ypTPgZa5oieBFuhpump,7XN2ZYCh9FEFSNo1pZUZTVJgGdQGdeuX8DRs3J6TD1kp,SELL,9758370.306016,217.22,19.25,2026-09-07 12:20:43,REAL
whale_5g2nhoJS_1788783827,5g2nhoJSHu95tdknPpR5xnXV2yyNGZv4NaZeTF4xPWrezk5E4VWHZmPyP7XZEAq92Xf3bbZyuMMAUTbkL85EuVG4,7K7pUhUHS4cRD6urry2ZfX7M5iAn2nZUr4kEtdVP6HMu,FsVPuUjYF9JPUavrdL5f49biHa6eqKgioG1Dk7PqqMwy,SELL,5269300.880651653,749.52,15.7,2026-09-07 12:23:47,REAL
whale_4yFssw6u_1788783898,4yFssw6uigUMkgakX9A26MQwxg5T1mTY1fGDhRDEKHTmNQd6gBs2wexS5HrzZ44ic75kPCHKdeXEJJjbDEzfi54X,7K7pUhUHS4cRD6urry2ZfX7M5iAn2nZUr4kEtdVP6HMu,BWpQHn4at37t9b3jE5A59BQfd2nppFjbkNeCyQrGvw8e,BUY,5259125.169875058,796.04,16.08,2026-09-07 12:24:58,REAL
whale_5M6aQiyJ_1788784604,5M6aQiyJaLNeiYwp4wCiQmJwTw73AykRsn5vwa6tbbo1AUkstfA1fNKH75RoyrJGaR2uCdoVnHBu6XqUEFAfa9k2,6J4cytLCk6ZXAv2aUhCT8oNT9F9aGYKztnikebKfLdxV,64er3RzBGByGij4RKUe1ug8BdPTA13EGhdy6VVJd8iLT,SELL,9667962.989464,296.82,18.54,2026-09-07 12:36:44,REAL
whale_2WUonEPk_1788784608,2WUonEPkchaUsc725xrsvj6tWsZcPv77PAQefP4Qao4FRinjwamq9RfXmSsnS7HoYUrLJz6GgH5BqGMgPv8trxu8,7K7pUhUHS4cRD6urry2ZfX7M5iAn2nZUr4kEtdVP6HMu,EJ59CQTMPDR52djH43ZV7JRS8VHjrchowrGp9fNS5m55,SELL,10343849.776626479,1311.89,28.05,2026-09-07 12:36:48,REAL
whale_5XECmfAH_1788784725,5XECmfAHMKJHEM4u2ufSZc7Z9eWqLy3S85sLnRTRJujLNXuH5AJ5uNGAgf9Gr6oec4oc4quPua8DPnUA6zMXbq9F,7K7pUhUHS4cRD6urry2ZfX7M5iAn2nZUr4kEtdVP6HMu,HytKqd3eKbYpMLNJUBxSXaPbcJM9sz63N4VicvT676ZN,BUY,8285868.206585577,1052.5,24.35,2026-09-07 12:38:45,REAL
whale_3kzi3v9s_1788785098,3kzi3v9sdUGGiH3CGEw37fXtqaMBhSbYqqf8CCNpnLuv4nfX3ZVQ9Zop8vAg9WZrZ5x1YJaQijJexQvCBMVDf9Wj,FjCNMck8zLwgfUxBmeX6jAQ9oL3bG3QQsRc5SUyyogVa,5koaS5HCWhkFy62imPJLwUHHxsGWDrJjWVvWLn8EVKGv,SELL,10935477.411500998,485.63,24.95,2026-09-07 12:44:58,REAL
whale_2jfAcaKx_1788785152,2jfAcaKxpzpYSRT8m5P9qouMAN7EwHFZ6WgPfn5tBQsjVka4uS6fThy3LzVG9y51o3ZDTbkgKuuhLAokEcfTgg4X,uUMv7qqANodrkLgZ5DKv1W8ZtpHZcRRJGZ2fcThpump,6R9NWQ15qdwmAfAqH8Sg8pMoysqurxKCyS6sXwTvZfyH,BUY,5561231.353782,332.76,16.03,2026-09-07 12:45:52,REAL
whale_B6ZbxiXT_1788785342,B6ZbxiXTEtgB5UfbztFexttRaKNG4tZKLd1rpYJbrWVRLxSe1aH278HGwq9BEZD5EKNEcnFTs2agBkx3zRQEHTe,FjCNMck8zLwgfUxBmeX6jAQ9oL3bG3QQsRc5SUyyogVa,tYGCfzdZTXEkG9rvbxUH8f8AgGmPRNDdMPkR1ERcCu8,SELL,15994164.947877,690.2,36.51,2026-09-07 12:49:02,REAL
whale_oBpwHMjR_1788787855,oBpwHMjRuEXHVX1nGYBDq5miwg8tokQYeqCbQnq3AMAkyNoWSQM4phCnMQ79kS9GWVDPACJH6fQ5Dqdgv1QzPfu,DDAJ1GNcnjDTDrTbmfsgNbCSFnezduBkBohT6VmNpump,88887QrRZPZmsstEXsoXXB8E7nbmUDde4Gp5s7jG3ENu,SELL,10518245.592789,182.56,18.6,2026-09-07 13:30:55,REAL
whale_5jxq2ktH_1788787989,5jxq2ktHipntGoyqNy9gSoWi9cnuLvfdTZEvcboYgrsevcj2pesCroz7AxysbHKyGfF2C5gqF2XhF2FbgbsYM8tt,xeKm1qmxyHLJZLdwKpsZdx5UFtYyb124GTWRZWypump,7CmzaEcgyaAZMQH5XfuaWfkRk8n1KHYT4k6eMBdr3Ub1,SELL,8656075.468959,206.62,16.16,2026-09-07 13:33:09,REAL
whale_bf9tdiNa_1788788186,bf9tdiNaRcTH2sDM5Pz6U7J7cjN9Rb5VDfZYWKkQFNcS76QQG599BS1VowRzojkGnVQGy736c1bBDCpWALA3SqZ,xeKm1qmxyHLJZLdwKpsZdx5UFtYyb124GTWRZWypump,J48fU4kHMrGqL44YTD2vVNmLYjvmQWauPFZ6oGWBDYS5,SELL,10392889.317651998,533.13,28.99,2026-09-07 13:36:26,REAL
whale_2zQqQLyV_1788788192,2zQqQLyV2i1tjugoQqcaHUu9X8fK2UTNwbyk8bQXRBgLjT1eTrfgZNfNtMmsm981WTHTxAnqojFbWtb2dbsGtbCZ,DDAJ1GNcnjDTDrTbmfsgNbCSFnezduBkBohT6VmNpump,3HMW8fDqh3SSq6eoihnTHzKgyv8TTSCMPgutYSBNn2ye,BUY,9796246.452772997,102.34,15.13,2026-09-07 13:36:32,REAL
whale_26usqFJt_1788788257,26usqFJt3DxQ1xz45yPChbmX9GEST7JzkqCr9iuik2Vkuw94TEn4pvASUSYGJbZwaZQtbWMShp8ipyrBSmyhNWjd,ATaKBKZCAuiPoxq85UiCQc2uJcFrEfxVY6HLUF4FEi9C,8PiXt2id4tAYDdU1mNvFhwbWHykVeijz157Gv6mEZ1Nt,BUY,7115671.9756,560.8,30.91,2026-09-07 13:37:37,REAL
whale_4rsDqV96_1788789381,4rsDqV96teuFRBJtyLwmfGtig1UGK6t5WTRCm3cvMMV9n4kL7jrXHBXrFVQJ7H8W7ujsDzQbnjtAJ61aANrXorHP,9iH8MzNcq6T88D9pU3qhHEx94bLuA5GcfKCgTbsENEc9,BLUEZYapTJn89Rq5Mb48gD6XdT2ZJtDMw9iXBeNq8ntx,SELL,10022247.962783,343.84,20.72,2026-09-07 13:56:21,REAL
whale_2UssPjBz_1788789522,2UssPjBz5XRz8PmfuBMF1oLh4XRiZNvETYxveFtzzir28fSbVdFZjixiw5pTQ2VFms3Xh7MULdtijzeukjjCqrMt,9iH8MzNcq6T88D9pU3qhHEx94bLuA5GcfKCgTbsENEc9,HZyJNKiMYYgpvd7xK36tGkdG1xf9SkNQjNy8koSDcGyA,SELL,10867046.540404,483.16,28.07,2026-09-07 13:58:42,REAL
