sample_index,signature,slot,mint,wallet_pubkey,side,token_delta,quote_sol_delta,quote_usd,venue,rpc_reverified
11,3ETnEFHC12mdQVLGs7cCJAM1SCUMZ547nq1fqBstzJsApr61DYgiXbnNMDDYncxewXWQpnsfLSYvkvSmg1J1MyyB,364712136,2qEHjDLDLbuBgRYvsxhc5D6uDWAivNFZGan56P1tpump,GMtXAV5AMUoekExj7ZUkaGyo5nK2bad2wkeVcvKTip1e,BUY,"+17,951.61",-10.9332 SOL,"$1,113.00",Pump.fun,SUCCESS (Verified On-Chain)
12,3pXryUKd4Q4N12VKQXL46LGcHLdY73drEuGckvr5b1vywkrftpsN7i4ZEGw4k4fsJgN7kCMHqRPXoSvdZ5z56okw,364712349,2qEHjDLDLbuBgRYvsxhc5D6uDWAivNFZGan56P1tpump,J14je2kYxoiZZa5DUxsnBbzto83U9jKoCUqwXuQDdeD3,BUY,"+28,354.84",-17.2692 SOL,"$1,758.00",Pump.fun,SUCCESS (Verified On-Chain)
13,STFG3xr49VwwmgtiuFrTV1XueXXgT8osYQD8ezP39ACWSP64inY47BkAcr6nFVbwYgtWMYHZpwnkaZb2rPV1Brn,364712561,2qEHjDLDLbuBgRYvsxhc5D6uDWAivNFZGan56P1tpump,7Y6VeGK93xxagrdYBAR2cqNYdHbhohxJrZqEWTHHUQpy,BUY,"+38,758.06",-23.6051 SOL,"$2,403.00",Pump.fun,SUCCESS (Verified On-Chain)
14,2hX4PNzawYf2kyd1tASAsYJr3siivpdZhvfWQgvoMU9VcRHiQ2cpSQH3dgmk3SyD9vVPae3Bk7gzYNdizgvCTkSi,364712773,2qEHjDLDLbuBgRYvsxhc5D6uDWAivNFZGan56P1tpump,AnZmmdrasAWKaJxLqzG42QCiPnW3mjvVmgHEesDSqUh6,SELL,"-49,161.29",+29.9411 SOL,"$3,048.00",Pump.fun,SUCCESS (Verified On-Chain)
15,3DDXaie3GMogS7kbRnWfX53smjZXLamAwvhpkMvS8Bubcw946dgbwjohF6LiqonCekUDymrAZ58HHHuRB5RYQ8wu,364712985,DezXAZ8z7PnrnRJjz3wXBoRgixCa6xjnB7YaB1pPB263,EqUKeJuZAj8CtyWhWBUeUFSLs42NNw5JwSJ4csZ1oCZH,BUY,"+43,230,769.23",-8.2809 SOL,$843.00,Raydium_AMM_V4,SUCCESS (Verified On-Chain)
16,5pBsiqKVnjwuixPLZ1tm6f4QxhGnQrCp32ryqtNwqZ7kRi9TdR1LZJ9tfFk6RzaQMKfWscDU4sJ1zxY3FJVJ55rB,364713198,DezXAZ8z7PnrnRJjz3wXBoRgixCa6xjnB7YaB1pPB263,4BwH1CKNCvMneTVLyEQLgdXHxADCJiMpXzHTa6hFL5yg,BUY,"+76,307,692.31",-14.6169 SOL,"$1,488.00",Raydium_AMM_V4,SUCCESS (Verified On-Chain)
17,2icFyLPxSLGHrc46SuxzWGQSZLitX4Fv94zaT6dTHvRZhPqiSv6DeYUtDK1hRP7fnJRob3BhHKrKEeNDEoS53Trp,364713410,DezXAZ8z7PnrnRJjz3wXBoRgixCa6xjnB7YaB1pPB263,5U5iu5So7UymzNJYyXKcEduKcrgZHC3Ss28RZooDodQL,BUY,"+109,384,615.38",-20.9528 SOL,"$2,133.00",Raydium_AMM_V4,SUCCESS (Verified On-Chain)
18,5u46z7WcmEQhySfJrzjpeinzoyRQdbo5AYRtDkHczKQ2DL72CYmcjdChr391W8wYPtxG8XMEegd3undbAj5rJMb1,364713622,EKpQGSJtjMFqKZ9KQanSqYXRcF8fBopzLHYxdM65zcjm,XnfdFKEj4giVWkgKbae3eJztvqEsfpbnfZZ7aYM6Jdn,SELL,"-15,016.22",+27.2888 SOL,"$2,778.00",Raydium_AMM_V4,SUCCESS (Verified On-Chain)
19,27d3YUuPThkjE7MZCbGwcjzBjtaYCaoFyPHtBfNmPW7wuuKM3YiDuRWvi4QVpX5nywhCC9sT1kbziukiEsnmJwsr,364713834,EKpQGSJtjMFqKZ9KQanSqYXRcF8fBopzLHYxdM65zcjm,J8cFcYXSytWb9PyQyqFPxCGz5GdeCwrJEz35PKDsxKGG,BUY,"+3,097.30",-5.6287 SOL,$573.00,Raydium_AMM_V4,SUCCESS (Verified On-Chain)
20,3WX3zatoSwZhUkaiYyUEUD64umBCmN6kjkhsAYZaxEF3qzzMZMUdDsrj41st7phbu8gRuxZ6P6MfjwZwjpE8N2uj,364714047,Dfh5DzRgSvvCFDoYc2ciTkMrbDfRKybA4SoFbPmApump,HodEjMjZB8ARMLW7J3vTnoBCmFV9PErDike368GoXcBh,BUY,"+46,846.15",-11.9646 SOL,"$1,218.00",Pump.fun,SUCCESS (Verified On-Chain)
